Кол-во вершин;Конфигурация графа;Диаметр;Средний путь;Время (мкс);Кол-во соединений
309;C(309, 37, 112, 126);7;4.55195;151915732;927
309;C(309, 37, 145, 152);7;4.55195;151915732;927
309;C(309, 38, 41, 68);7;4.55195;151915732;927
309;C(309, 38, 48, 98);7;4.55195;151915732;927
309;C(309, 38, 52, 96);7;4.55195;151915732;927
309;C(309, 39, 41, 85);7;4.55195;151915732;927
309;C(309, 39, 62, 121);7;4.55195;151915732;927
309;C(309, 39, 112, 137);7;4.55195;151915732;927
309;C(309, 40, 45, 53);7;4.55195;151915732;927
309;C(309, 40, 75, 98);7;4.55195;151915732;927
309;C(309, 41, 73, 94);7;4.55195;151915732;927
309;C(309, 41, 77, 147);7;4.55195;151915732;927
309;C(309, 42, 43, 59);7;4.55195;151915732;927
309;C(309, 42, 44, 146);7;4.55195;151915732;927
309;C(309, 42, 106, 125);7;4.55195;151915732;927
309;C(309, 43, 54, 55);7;4.55195;151915732;927
309;C(309, 43, 70, 109);7;4.55195;151915732;927
309;C(309, 43, 85, 124);7;4.55195;151915732;927
309;C(309, 44, 46, 72);7;4.55195;151915732;927
309;C(309, 44, 80, 95);7;4.55195;151915732;927
309;C(309, 44, 84, 109);7;4.55195;151915732;927
309;C(309, 44, 105, 151);7;4.55195;151915732;927
309;C(309, 45, 50, 143);7;4.55195;151915732;927
309;C(309, 45, 79, 100);7;4.55195;151915732;927
309;C(309, 45, 106, 127);7;4.55195;151915732;927
309;C(309, 46, 47, 55);7;4.55195;151915732;927
309;C(309, 46, 109, 129);7;4.55195;151915732;927
309;C(309, 46, 128, 144);7;4.55195;151915732;927
309;C(309, 47, 63, 70);7;4.55195;151915732;927
309;C(309, 47, 87, 139);7;4.55195;151915732;927
309;C(309, 47, 118, 134);7;4.55195;151915732;927
309;C(309, 48, 77, 122);7;4.55195;151915732;927
309;C(309, 49, 61, 140);7;4.55195;151915732;927
309;C(309, 49, 77, 143);7;4.55195;151915732;927
309;C(309, 49, 119, 138);7;4.55195;151915732;927
309;C(309, 50, 88, 137);7;4.55195;151915732;927
309;C(309, 50, 98, 127);7;4.55195;151915732;927
309;C(309, 50, 115, 132);7;4.55195;151915732;927
309;C(309, 50, 119, 122);7;4.55195;151915732;927
309;C(309, 51, 79, 89);7;4.55195;151915732;927
309;C(309, 51, 91, 92);7;4.55195;151915732;927
309;C(309, 52, 57, 58);7;4.55195;151915732;927
309;C(309, 52, 95, 139);7;4.55195;151915732;927
309;C(309, 53, 71, 138);7;4.55195;151915732;927
309;C(309, 53, 91, 132);7;4.55195;151915732;927
309;C(309, 54, 86, 136);7;4.55195;151915732;927
309;C(309, 54, 146, 151);7;4.55195;151915732;927
309;C(309, 55, 59, 105);7;4.55195;151915732;927
309;C(309, 55, 90, 97);7;4.55195;151915732;927
309;C(309, 55, 100, 113);7;4.55195;151915732;927
309;C(309, 56, 63, 136);7;4.55195;151915732;927
309;C(309, 56, 67, 87);7;4.55195;151915732;927
309;C(309, 56, 86, 135);7;4.55195;151915732;927
309;C(309, 56, 104, 148);7;4.55195;151915732;927
309;C(309, 56, 105, 110);7;4.55195;151915732;927
309;C(309, 56, 149, 151);7;4.55195;151915732;927
309;C(309, 57, 74, 85);7;4.55195;151915732;927
309;C(309, 57, 148, 154);7;4.55195;151915732;927
309;C(309, 58, 65, 113);7;4.55195;151915732;927
309;C(309, 58, 67, 114);7;4.55195;151915732;927
309;C(309, 58, 123, 136);7;4.55195;151915732;927
309;C(309, 59, 67, 131);7;4.55195;151915732;927
309;C(309, 59, 72, 149);7;4.55195;151915732;927
309;C(309, 59, 84, 97);7;4.55195;151915732;927
309;C(309, 60, 101, 122);7;4.55195;151915732;927
309;C(309, 61, 86, 139);7;4.55195;151915732;927
309;C(309, 61, 134, 153);7;4.55195;151915732;927
309;C(309, 62, 71, 101);7;4.55195;151915732;927
309;C(309, 62, 112, 133);7;4.55195;151915732;927
309;C(309, 64, 76, 97);7;4.55195;151915732;927
309;C(309, 64, 95, 120);7;4.55195;151915732;927
309;C(309, 64, 125, 146);7;4.55195;151915732;927
309;C(309, 65, 71, 100);7;4.55195;151915732;927
309;C(309, 65, 96, 154);7;4.55195;151915732;927
309;C(309, 65, 107, 120);7;4.55195;151915732;927
309;C(309, 66, 109, 128);7;4.55195;151915732;927
309;C(309, 66, 113, 142);7;4.55195;151915732;927
309;C(309, 67, 78, 124);7;4.55195;151915732;927
309;C(309, 67, 136, 153);7;4.55195;151915732;927
309;C(309, 68, 73, 106);7;4.55195;151915732;927
309;C(309, 68, 78, 121);7;4.55195;151915732;927
309;C(309, 68, 148, 151);7;4.55195;151915732;927
309;C(309, 69, 95, 130);7;4.55195;151915732;927
309;C(309, 69, 119, 128);7;4.55195;151915732;927
309;C(309, 70, 110, 116);7;4.55195;151915732;927
309;C(309, 70, 123, 148);7;4.55195;151915732;927
309;C(309, 70, 124, 130);7;4.55195;151915732;927
309;C(309, 70, 139, 153);7;4.55195;151915732;927
309;C(309, 72, 80, 142);7;4.55195;151915732;927
309;C(309, 73, 89, 111);7;4.55195;151915732;927
309;C(309, 73, 137, 141);7;4.55195;151915732;927
309;C(309, 74, 77, 126);7;4.55195;151915732;927
309;C(309, 75, 101, 152);7;4.55195;151915732;927
309;C(309, 76, 82, 136);7;4.55195;151915732;927
309;C(309, 76, 96, 113);7;4.55195;151915732;927
309;C(309, 76, 104, 117);7;4.55195;151915732;927
309;C(309, 77, 81, 101);7;4.55195;151915732;927
309;C(309, 77, 89, 140);7;4.55195;151915732;927
309;C(309, 78, 82, 139);7;4.55195;151915732;927
309;C(309, 80, 90, 106);7;4.55195;151915732;927
309;C(309, 80, 113, 150);7;4.55195;151915732;927
309;C(309, 81, 116, 134);7;4.55195;151915732;927
309;C(309, 82, 121, 146);7;4.55195;151915732;927
309;C(309, 83, 109, 110);7;4.55195;151915732;927
309;C(309, 83, 116, 130);7;4.55195;151915732;927
309;C(309, 83, 117, 152);7;4.55195;151915732;927
309;C(309, 84, 86, 118);7;4.55195;151915732;927
309;C(309, 85, 111, 131);7;4.55195;151915732;927
309;C(309, 86, 91, 140);7;4.55195;151915732;927
309;C(309, 86, 108, 110);7;4.55195;151915732;927
309;C(309, 87, 131, 146);7;4.55195;151915732;927
309;C(309, 88, 91, 141);7;4.55195;151915732;927
309;C(309, 88, 92, 144);7;4.55195;151915732;927
309;C(309, 88, 119, 149);7;4.55195;151915732;927
